GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wx-shop,com.github.jianqibot.wxshop.service,VerificationCodeCheckService,0,21,0,0,0,5,0,3,0,3
wx-shop,com.github.jianqibot.wxshop.service,UserContext,3,13,0,0,1,4,1,3,1,3
wx-shop,com.github.jianqibot.wxshop.service,GoodsService.NotAuthorizedException,4,0,0,0,2,0,1,0,1,0
wx-shop,com.github.jianqibot.wxshop.service,UserService,6,32,0,0,2,11,0,3,0,3
wx-shop,com.github.jianqibot.wxshop.service,ShiroRealm,2,36,0,0,1,7,1,3,1,3
wx-shop,com.github.jianqibot.wxshop.service,TelVerificationService,2,18,2,2,1,4,2,3,0,3
wx-shop,com.github.jianqibot.wxshop.service,ShoppingCartService,44,222,3,3,11,43,3,8,0,8
wx-shop,com.github.jianqibot.wxshop.service,UserLoginInterceptor,0,23,0,2,0,9,0,4,0,3
wx-shop,com.github.jianqibot.wxshop.service,GoodsService,10,221,2,14,2,50,2,12,0,6
wx-shop,com.github.jianqibot.wxshop.service,AuthService,0,28,0,0,0,9,0,2,0,2
wx-shop,com.github.jianqibot.wxshop.service,ShopService,125,30,12,0,26,9,10,2,4,2
wx-shop,com.github.jianqibot.wxshop.service,MockSmsCodeService,0,5,0,0,0,2,0,2,0,2
wx-shop,com.github.jianqibot.wxshop.entity,ShoppingCartItem,0,17,0,0,0,7,0,5,0,5
wx-shop,com.github.jianqibot.wxshop.entity,GoodsInShoppingCart,0,10,0,0,0,4,0,3,0,3
wx-shop,com.github.jianqibot.wxshop.entity,PageResponse,0,65,0,0,0,25,0,13,0,13
wx-shop,com.github.jianqibot.wxshop.entity,Response,6,32,0,0,1,13,1,7,1,7
wx-shop,com.github.jianqibot.wxshop.entity,LoginResponse,0,30,0,0,0,10,0,6,0,6
wx-shop,com.github.jianqibot.wxshop.entity,TelAndCode,8,15,0,0,4,6,2,3,2,3
wx-shop,com.github.jianqibot.wxshop.entity,ItemStatus,0,28,0,0,0,4,0,2,0,2
wx-shop,com.github.jianqibot.wxshop.entity,HttpException,11,22,0,0,5,6,3,4,3,4
wx-shop,com.github.jianqibot.wxshop.entity,ShoppingCartResponse,0,17,0,0,0,7,0,5,0,5
wx-shop,com.github.jianqibot.wxshop.config,ShiroConfig,0,112,0,0,0,29,0,6,0,6
wx-shop,com.github.jianqibot.wxshop.config,ShiroLoginFilter,15,3,0,0,5,1,1,1,1,1
wx-shop,com.github.jianqibot.wxshop.dao,ShopDao,40,16,2,0,9,5,5,3,4,3
wx-shop,com.github.jianqibot.wxshop.dao,GoodsDao,7,57,0,0,2,14,1,6,1,6
wx-shop,com.github.jianqibot.wxshop.dao,UserDao,0,29,0,0,0,8,0,3,0,3
wx-shop,com.github.jianqibot.wxshop.mock,OrderServiceMock,4,3,0,0,2,1,1,1,1,1
wx-shop,com.github.jianqibot.wxshop,WxShopApplication,5,3,0,0,2,1,1,1,1,1
wx-shop,com.github.jianqibot.wxshop.controller,ShoppingCartController,8,28,0,0,3,6,0,4,0,4
wx-shop,com.github.jianqibot.wxshop.controller,OrderController,7,3,0,0,2,1,1,1,1,1
wx-shop,com.github.jianqibot.wxshop.controller,ShopController,67,14,0,0,16,4,4,2,4,2
wx-shop,com.github.jianqibot.wxshop.controller,AuthController,5,53,0,4,2,21,0,7,0,5
wx-shop,com.github.jianqibot.wxshop.controller,GoodsController,41,51,0,0,13,13,1,5,1,5
